freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.510e+02,3.092e+03,6.896e+01,3.312e+03
1.4,6.928e+02,1.255e+04,3.912e+02,1.363e+04
2.7,8.192e+02,1.308e+04,4.403e+02,1.434e+04
4.1,9.138e+02,1.276e+04,3.844e+02,1.406e+04
5.5,1.100e+03,1.628e+04,4.352e+02,1.782e+04
6.9,9.415e+02,1.921e+04,3.946e+02,2.055e+04
8.2,1.026e+03,2.027e+04,4.004e+02,2.170e+04
9.6,9.836e+02,2.296e+04,4.086e+02,2.435e+04
11.0,1.021e+03,2.736e+04,4.895e+02,2.887e+04
12.3,1.067e+03,3.334e+04,4.965e+02,3.490e+04
13.7,9.998e+02,4.218e+04,4.988e+02,4.368e+04
15.1,1.221e+03,4.544e+04,6.288e+02,4.729e+04
16.4,1.214e+03,4.730e+04,6.440e+02,4.916e+04
17.8,1.225e+03,5.317e+04,5.790e+02,5.497e+04
19.2,1.370e+03,5.709e+04,5.690e+02,5.902e+04
20.6,1.247e+03,7.767e+04,5.685e+02,7.949e+04
21.9,1.229e+03,1.132e+05,6.137e+02,1.150e+05
23.3,1.454e+03,1.095e+05,7.368e+02,1.117e+05
24.7,1.463e+03,1.390e+05,7.038e+02,1.412e+05
26.0,1.644e+03,1.591e+05,7.168e+02,1.615e+05
27.4,1.843e+03,1.810e+05,8.751e+02,1.838e+05
28.8,2.027e+03,2.456e+05,9.388e+02,2.486e+05
30.2,3.090e+03,4.326e+05,1.314e+03,4.370e+05
31.5,4.861e+03,7.551e+05,2.101e+03,7.621e+05
32.9,6.343e+03,8.412e+05,2.987e+03,8.505e+05
34.3,1.182e+04,1.430e+06,6.542e+03,1.448e+06
35.6,1.912e+04,2.079e+06,1.177e+04,2.110e+06
37.0,1.350e+04,1.177e+06,8.910e+03,1.199e+06
38.4,1.020e+04,7.624e+05,7.833e+03,7.805e+05
39.7,9.200e+03,6.413e+05,8.238e+03,6.587e+05
41.1,1.188e+04,8.033e+05,1.176e+04,8.269e+05
42.5,9.480e+03,6.282e+05,1.031e+04,6.480e+05
43.9,7.238e+03,4.516e+05,7.944e+03,4.668e+05
45.2,5.668e+03,3.594e+05,6.051e+03,3.711e+05
46.6,5.228e+03,3.578e+05,5.980e+03,3.690e+05
48.0,4.940e+03,3.448e+05,6.610e+03,3.563e+05
49.3,3.871e+03,2.268e+05,5.242e+03,2.360e+05
50.7,3.833e+03,1.990e+05,5.625e+03,2.085e+05
52.1,4.003e+03,1.860e+05,5.028e+03,1.950e+05
53.5,4.764e+03,1.582e+05,5.337e+03,1.683e+05
54.8,4.981e+03,1.205e+05,4.927e+03,1.304e+05
56.2,5.070e+03,1.078e+05,5.683e+03,1.185e+05
57.6,5.693e+03,9.041e+04,6.577e+03,1.027e+05
58.9,5.110e+03,6.397e+04,5.544e+03,7.462e+04
60.3,4.490e+03,5.009e+04,4.394e+03,5.897e+04
61.7,4.757e+03,5.062e+04,4.602e+03,5.998e+04
63.0,7.223e+03,5.220e+04,5.989e+03,6.541e+04
64.4,9.164e+03,5.751e+04,7.568e+03,7.424e+04
65.8,8.944e+03,4.785e+04,6.432e+03,6.323e+04
67.2,8.033e+03,3.285e+04,5.043e+03,4.592e+04
68.5,7.244e+03,2.842e+04,4.290e+03,3.995e+04
69.9,8.602e+03,3.164e+04,4.994e+03,4.524e+04
71.3,8.669e+03,2.890e+04,4.890e+03,4.246e+04
72.6,8.217e+03,2.603e+04,4.002e+03,3.825e+04
74.0,9.196e+03,2.546e+04,3.957e+03,3.861e+04
75.4,1.044e+04,2.462e+04,4.005e+03,3.906e+04
76.8,1.754e+04,2.790e+04,3.298e+03,4.874e+04
78.1,1.653e+04,2.836e+04,4.173e+03,4.906e+04
79.5,1.090e+04,2.109e+04,4.015e+03,3.600e+04
80.9,1.098e+04,2.053e+04,3.900e+03,3.541e+04
82.2,1.258e+04,2.400e+04,3.959e+03,4.054e+04
83.6,1.180e+04,2.078e+04,4.132e+03,3.671e+04
85.0,1.337e+04,2.141e+04,4.007e+03,3.879e+04
86.3,1.609e+04,2.421e+04,3.324e+03,4.362e+04
87.7,1.374e+04,1.967e+04,3.265e+03,3.668e+04
89.1,1.252e+04,1.802e+04,2.851e+03,3.339e+04
90.5,1.629e+04,2.055e+04,2.606e+03,3.944e+04
91.8,1.616e+04,1.845e+04,2.901e+03,3.751e+04
93.2,1.312e+04,1.587e+04,3.300e+03,3.228e+04
94.6,1.263e+04,1.613e+04,2.958e+03,3.171e+04
