freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.253e+02,2.503e+03,1.063e+02,3.334e+03
1.5,1.152e+03,5.440e+03,4.929e+02,7.085e+03
3.0,8.799e+02,5.024e+03,5.715e+02,6.476e+03
4.5,8.857e+02,5.351e+03,4.940e+02,6.730e+03
5.9,1.243e+03,7.584e+03,5.093e+02,9.336e+03
7.4,1.225e+03,1.008e+04,5.737e+02,1.188e+04
8.9,1.164e+03,1.230e+04,5.399e+02,1.401e+04
10.4,1.440e+03,1.564e+04,6.578e+02,1.774e+04
11.9,1.750e+03,1.989e+04,7.002e+02,2.234e+04
13.4,1.406e+03,2.442e+04,5.944e+02,2.642e+04
14.9,1.665e+03,3.099e+04,6.768e+02,3.333e+04
16.4,1.674e+03,4.238e+04,6.975e+02,4.475e+04
17.8,2.077e+03,5.556e+04,6.321e+02,5.827e+04
19.3,2.877e+03,7.218e+04,6.859e+02,7.574e+04
20.8,2.985e+03,9.256e+04,8.821e+02,9.643e+04
22.3,3.829e+03,1.349e+05,1.009e+03,1.398e+05
23.8,7.162e+03,2.191e+05,1.329e+03,2.276e+05
25.3,1.261e+04,3.515e+05,2.098e+03,3.662e+05
26.8,2.410e+04,5.849e+05,3.306e+03,6.123e+05
28.2,6.595e+04,1.164e+06,5.957e+03,1.236e+06
29.7,2.320e+05,2.919e+06,2.005e+04,3.171e+06
31.2,5.554e+05,3.911e+06,3.053e+04,4.497e+06
32.7,9.922e+05,2.342e+06,1.841e+04,3.352e+06
34.2,1.385e+06,1.375e+06,1.913e+04,2.780e+06
35.7,1.023e+06,5.521e+05,2.261e+04,1.598e+06
37.2,6.515e+05,4.410e+05,2.340e+04,1.116e+06
38.6,2.910e+05,4.352e+05,1.295e+04,7.392e+05
40.1,1.359e+05,3.852e+05,6.927e+03,5.280e+05
41.6,9.989e+04,4.950e+05,6.879e+03,6.018e+05
43.1,5.393e+04,3.041e+05,4.420e+03,3.624e+05
44.6,3.405e+04,2.536e+05,2.931e+03,2.905e+05
46.1,3.653e+04,3.009e+05,3.078e+03,3.405e+05
47.6,3.529e+04,3.222e+05,2.889e+03,3.604e+05
49.1,2.982e+04,2.826e+05,2.658e+03,3.151e+05
50.5,1.537e+04,1.395e+05,2.817e+03,1.577e+05
52.0,1.514e+04,1.348e+05,5.443e+03,1.554e+05
