freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.058e+02,5.767e+01,2.745e+03,2.908e+03
1.4,5.684e+02,2.456e+02,1.559e+04,1.641e+04
2.7,5.676e+02,2.862e+02,2.014e+04,2.099e+04
4.1,5.035e+02,3.351e+02,2.108e+04,2.192e+04
5.5,5.018e+02,3.228e+02,1.869e+04,1.951e+04
6.9,5.538e+02,3.091e+02,2.149e+04,2.236e+04
8.2,5.165e+02,2.922e+02,2.187e+04,2.268e+04
9.6,4.962e+02,3.329e+02,2.585e+04,2.668e+04
11.0,5.576e+02,3.659e+02,2.914e+04,3.007e+04
12.4,6.065e+02,3.591e+02,2.748e+04,2.845e+04
13.7,5.995e+02,3.430e+02,3.198e+04,3.292e+04
15.1,5.269e+02,3.513e+02,3.299e+04,3.387e+04
16.5,6.034e+02,3.632e+02,3.711e+04,3.808e+04
17.9,6.467e+02,4.128e+02,4.096e+04,4.202e+04
19.2,7.017e+02,4.934e+02,4.407e+04,4.527e+04
20.6,7.948e+02,4.793e+02,4.412e+04,4.539e+04
22.0,7.409e+02,6.214e+02,5.163e+04,5.300e+04
23.4,7.170e+02,6.760e+02,5.382e+04,5.521e+04
24.7,7.669e+02,8.590e+02,5.339e+04,5.502e+04
26.1,7.507e+02,9.363e+02,6.298e+04,6.466e+04
27.5,8.528e+02,9.527e+02,6.660e+04,6.841e+04
28.9,9.385e+02,1.134e+03,9.515e+04,9.722e+04
30.2,9.383e+02,1.623e+03,9.771e+04,1.003e+05
31.6,1.134e+03,2.145e+03,1.169e+05,1.202e+05
33.0,1.115e+03,2.739e+03,1.156e+05,1.194e+05
34.4,1.288e+03,3.917e+03,1.419e+05,1.471e+05
35.7,1.674e+03,5.542e+03,1.518e+05,1.590e+05
37.1,2.067e+03,9.165e+03,1.740e+05,1.853e+05
38.5,2.931e+03,1.606e+04,2.420e+05,2.610e+05
39.9,3.275e+03,2.099e+04,2.870e+05,3.113e+05
41.2,3.429e+03,2.491e+04,3.167e+05,3.450e+05
42.6,2.740e+03,1.822e+04,2.661e+05,2.871e+05
44.0,2.089e+03,1.237e+04,2.448e+05,2.593e+05
45.3,2.369e+03,1.255e+04,3.162e+05,3.311e+05
46.7,2.981e+03,1.469e+04,4.705e+05,4.882e+05
48.1,2.845e+03,1.285e+04,4.690e+05,4.847e+05
49.5,2.403e+03,9.248e+03,3.785e+05,3.901e+05
50.8,2.571e+03,7.000e+03,4.251e+05,4.347e+05
52.2,3.031e+03,6.193e+03,5.375e+05,5.468e+05
53.6,2.998e+03,4.534e+03,5.694e+05,5.769e+05
55.0,3.614e+03,3.893e+03,5.579e+05,5.654e+05
56.3,3.738e+03,3.516e+03,4.065e+05,4.137e+05
57.7,5.988e+03,4.523e+03,6.311e+05,6.416e+05
59.1,7.378e+03,3.777e+03,7.172e+05,7.283e+05
60.5,5.169e+03,2.966e+03,4.774e+05,4.855e+05
61.8,5.888e+03,4.093e+03,5.510e+05,5.610e+05
63.2,5.558e+03,3.527e+03,5.145e+05,5.236e+05
64.6,4.633e+03,2.424e+03,4.118e+05,4.188e+05
66.0,3.580e+03,1.978e+03,2.971e+05,3.027e+05
67.3,3.672e+03,1.679e+03,2.610e+05,2.664e+05
68.7,4.037e+03,1.567e+03,2.465e+05,2.521e+05
70.1,5.321e+03,1.706e+03,3.113e+05,3.184e+05
71.5,4.456e+03,1.457e+03,2.546e+05,2.606e+05
72.8,3.839e+03,1.410e+03,1.920e+05,1.973e+05
74.2,3.913e+03,1.339e+03,1.557e+05,1.609e+05
75.6,4.567e+03,1.477e+03,1.335e+05,1.395e+05
77.0,7.995e+03,2.269e+03,1.817e+05,1.920e+05
78.3,6.440e+03,1.857e+03,1.745e+05,1.828e+05
79.7,4.813e+03,1.411e+03,1.231e+05,1.294e+05
81.1,5.814e+03,1.639e+03,1.204e+05,1.279e+05
82.5,5.823e+03,1.548e+03,1.112e+05,1.186e+05
83.8,5.811e+03,1.520e+03,9.843e+04,1.058e+05
85.2,7.505e+03,1.858e+03,1.001e+05,1.094e+05
86.6,8.210e+03,2.016e+03,1.042e+05,1.144e+05
87.9,5.093e+03,1.390e+03,6.849e+04,7.497e+04
89.3,4.725e+03,1.250e+03,5.053e+04,5.651e+04
90.7,5.290e+03,1.439e+03,6.002e+04,6.674e+04
92.1,5.014e+03,1.382e+03,5.742e+04,6.382e+04
93.4,6.489e+03,1.712e+03,6.004e+04,6.824e+04
94.8,5.971e+03,1.654e+03,5.275e+04,6.038e+04
96.2,4.014e+03,1.106e+03,4.005e+04,4.517e+04
97.6,2.971e+03,8.154e+02,3.248e+04,3.627e+04
98.9,2.520e+03,7.014e+02,2.978e+04,3.300e+04
100.3,3.378e+03,8.376e+02,3.365e+04,3.786e+04
101.7,3.601e+03,9.352e+02,3.310e+04,3.764e+04
103.1,2.393e+03,7.193e+02,2.636e+04,2.947e+04
104.4,2.234e+03,6.680e+02,2.431e+04,2.721e+04
105.8,1.960e+03,6.149e+02,2.286e+04,2.543e+04
107.2,1.707e+03,5.684e+02,2.055e+04,2.283e+04
108.6,1.608e+03,4.902e+02,2.057e+04,2.266e+04
109.9,1.656e+03,4.737e+02,1.915e+04,2.128e+04
111.3,1.642e+03,5.085e+02,1.625e+04,1.840e+04
112.7,1.807e+03,5.417e+02,1.740e+04,1.975e+04
114.1,1.739e+03,5.544e+02,1.996e+04,2.226e+04
115.4,1.441e+03,4.841e+02,1.947e+04,2.140e+04
116.8,1.310e+03,4.296e+02,1.602e+04,1.776e+04
118.2,1.223e+03,4.012e+02,1.417e+04,1.579e+04
119.6,1.182e+03,3.907e+02,1.562e+04,1.720e+04
120.9,1.138e+03,3.809e+02,1.442e+04,1.594e+04
122.3,1.099e+03,4.075e+02,1.340e+04,1.490e+04
123.7,1.069e+03,4.343e+02,1.115e+04,1.265e+04
125.1,9.341e+02,3.697e+02,9.868e+03,1.117e+04
126.4,8.494e+02,3.741e+02,9.291e+03,1.051e+04
127.8,7.717e+02,3.659e+02,9.145e+03,1.028e+04
129.2,8.297e+02,3.915e+02,9.297e+03,1.052e+04
130.5,7.948e+02,4.503e+02,9.691e+03,1.094e+04
131.9,7.980e+02,4.145e+02,8.197e+03,9.410e+03
133.3,7.579e+02,4.156e+02,7.697e+03,8.870e+03
134.7,6.578e+02,4.467e+02,8.520e+03,9.625e+03
136.0,6.786e+02,4.646e+02,7.989e+03,9.132e+03
137.4,7.682e+02,4.962e+02,7.655e+03,8.919e+03
138.8,7.070e+02,4.257e+02,7.401e+03,8.534e+03
140.2,6.965e+02,4.543e+02,7.194e+03,8.344e+03
