freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.764e+02,4.121e+00,1.324e+01,3.938e+02
1.6,2.196e+02,1.298e+01,2.832e+01,2.609e+02
3.2,3.591e+01,1.350e+01,2.557e+01,7.499e+01
4.8,5.838e+02,1.347e+01,2.594e+01,6.232e+02
6.4,1.874e+03,1.402e+01,2.900e+01,1.917e+03
8.0,3.035e+03,1.464e+01,3.166e+01,3.082e+03
9.6,4.364e+03,1.715e+01,2.838e+01,4.410e+03
11.1,5.963e+03,1.847e+01,2.638e+01,6.007e+03
12.7,7.716e+03,1.818e+01,2.705e+01,7.762e+03
14.3,9.159e+03,1.813e+01,2.740e+01,9.205e+03
15.9,1.150e+04,2.156e+01,3.115e+01,1.156e+04
17.5,1.441e+04,2.060e+01,3.708e+01,1.446e+04
19.1,1.797e+04,2.141e+01,3.553e+01,1.803e+04
20.7,2.222e+04,2.759e+01,3.865e+01,2.228e+04
22.3,2.623e+04,3.170e+01,4.624e+01,2.631e+04
23.9,3.004e+04,3.509e+01,5.949e+01,3.013e+04
25.5,3.604e+04,4.341e+01,8.033e+01,3.616e+04
27.1,4.237e+04,4.689e+01,8.784e+01,4.251e+04
28.7,4.935e+04,3.574e+01,8.879e+01,4.948e+04
30.2,5.947e+04,3.225e+01,8.509e+01,5.959e+04
31.8,6.993e+04,1.027e+02,8.301e+01,7.011e+04
33.4,6.697e+04,1.648e+02,1.246e+02,6.726e+04
35.0,6.778e+04,9.228e+01,2.454e+02,6.812e+04
36.6,8.488e+04,9.403e+01,4.578e+02,8.543e+04
38.2,1.089e+05,1.114e+02,6.334e+02,1.096e+05
39.8,1.345e+05,8.930e+01,2.968e+02,1.348e+05
41.4,1.736e+05,1.325e+02,9.638e+01,1.738e+05
43.0,2.212e+05,2.057e+02,2.058e+02,2.216e+05
44.6,2.559e+05,5.877e+02,3.890e+02,2.569e+05
46.2,2.522e+05,1.474e+03,2.524e+02,2.540e+05
47.8,2.215e+05,1.802e+03,1.542e+02,2.234e+05
49.4,2.429e+05,2.214e+03,2.542e+02,2.454e+05
50.9,3.406e+05,2.824e+03,7.541e+02,3.442e+05
52.5,4.226e+05,2.890e+03,2.538e+03,4.280e+05
54.1,4.486e+05,2.181e+03,5.352e+03,4.561e+05
55.7,5.489e+05,1.557e+03,8.527e+03,5.590e+05
57.3,6.850e+05,1.237e+03,1.385e+04,7.001e+05
58.9,7.383e+05,1.411e+03,2.563e+04,7.653e+05
60.5,6.812e+05,1.792e+03,3.458e+04,7.176e+05
62.1,4.923e+05,1.224e+03,3.431e+04,5.278e+05
63.7,3.421e+05,6.066e+02,3.189e+04,3.746e+05
65.3,2.572e+05,3.249e+02,2.891e+04,2.864e+05
66.9,2.292e+05,2.175e+02,2.219e+04,2.516e+05
68.5,2.541e+05,3.291e+02,1.797e+04,2.724e+05
70.1,2.691e+05,8.719e+02,1.184e+04,2.819e+05
71.6,2.579e+05,1.186e+03,9.275e+03,2.683e+05
73.2,2.360e+05,6.519e+02,1.290e+04,2.495e+05
74.8,2.711e+05,2.553e+02,1.728e+04,2.887e+05
76.4,3.530e+05,4.088e+02,1.982e+04,3.732e+05
78.0,3.903e+05,5.668e+02,1.697e+04,4.079e+05
79.6,3.798e+05,4.970e+02,1.044e+04,3.907e+05
81.2,3.722e+05,6.509e+02,5.080e+03,3.779e+05
82.8,3.183e+05,1.355e+03,2.523e+03,3.222e+05
84.4,2.619e+05,2.041e+03,3.661e+03,2.676e+05
86.0,2.362e+05,1.978e+03,5.182e+03,2.434e+05
87.6,2.037e+05,2.340e+03,4.870e+03,2.109e+05
89.2,1.303e+05,2.559e+03,3.126e+03,1.360e+05
90.7,2.403e+04,1.044e+03,9.477e+02,2.603e+04
92.3,3.890e+03,1.083e+03,7.707e+02,5.744e+03
93.9,2.537e+03,2.757e+03,1.923e+03,7.216e+03
95.5,1.570e+03,6.465e+03,4.616e+03,1.265e+04
97.1,1.023e+03,9.098e+03,6.519e+03,1.664e+04
98.7,7.136e+02,9.488e+03,6.396e+03,1.660e+04
100.3,6.636e+02,8.689e+03,5.225e+03,1.458e+04
101.9,8.811e+02,6.903e+03,3.677e+03,1.146e+04
103.5,1.059e+03,4.974e+03,2.414e+03,8.446e+03
105.1,1.086e+03,3.610e+03,1.643e+03,6.340e+03
106.7,1.076e+03,2.622e+03,1.133e+03,4.832e+03
108.3,9.286e+02,1.956e+03,7.658e+02,3.651e+03
109.9,7.167e+02,1.475e+03,5.494e+02,2.741e+03
111.4,5.456e+02,1.161e+03,4.753e+02,2.182e+03
113.0,4.814e+02,1.732e+03,5.157e+02,2.729e+03
114.6,3.717e+02,2.730e+03,5.954e+02,3.697e+03
116.2,3.859e+02,9.881e+02,4.487e+02,1.823e+03
117.8,5.255e+02,3.746e+02,3.066e+02,1.207e+03
119.4,5.586e+02,3.693e+02,3.778e+02,1.306e+03
121.0,5.824e+02,3.278e+02,5.080e+02,1.418e+03
122.6,8.007e+02,3.117e+02,6.434e+02,1.756e+03
124.2,1.267e+03,3.399e+02,7.042e+02,2.311e+03
125.8,2.051e+03,3.625e+02,7.368e+02,3.150e+03
127.4,3.103e+03,3.266e+02,7.959e+02,4.225e+03
129.0,5.056e+03,3.608e+02,9.823e+02,6.399e+03
130.6,9.048e+03,4.949e+02,1.279e+03,1.082e+04
132.1,1.511e+04,5.587e+02,1.721e+03,1.739e+04
133.7,1.943e+04,4.611e+02,1.800e+03,2.169e+04
135.3,2.283e+04,3.394e+02,1.708e+03,2.487e+04
136.9,2.550e+04,2.722e+02,1.582e+03,2.735e+04
138.5,2.745e+04,2.196e+02,1.516e+03,2.919e+04
140.1,2.976e+04,2.594e+02,1.458e+03,3.148e+04
141.7,3.434e+04,1.004e+03,1.485e+03,3.683e+04
143.3,4.782e+04,9.152e+02,2.031e+03,5.076e+04
144.9,7.289e+04,2.670e+02,2.512e+03,7.567e+04
146.5,1.070e+05,3.008e+02,2.935e+03,1.102e+05
148.1,1.667e+05,3.602e+02,3.766e+03,1.709e+05
149.7,2.307e+05,3.886e+02,4.518e+03,2.356e+05
151.2,2.247e+05,3.432e+02,3.718e+03,2.287e+05
152.8,1.848e+05,3.421e+02,2.526e+03,1.876e+05
154.4,1.516e+05,3.680e+02,1.733e+03,1.537e+05
156.0,1.190e+05,3.250e+02,1.225e+03,1.206e+05
157.6,1.044e+05,3.612e+02,1.023e+03,1.058e+05
159.2,8.729e+04,6.425e+02,7.886e+02,8.872e+04
160.8,7.087e+04,1.109e+03,6.332e+02,7.261e+04
162.4,6.465e+04,1.565e+03,5.688e+02,6.678e+04
164.0,5.804e+04,1.833e+03,5.094e+02,6.039e+04
165.6,5.147e+04,2.087e+03,4.380e+02,5.400e+04
167.2,5.055e+04,2.339e+03,3.889e+02,5.328e+04
168.8,4.869e+04,2.670e+03,4.474e+02,5.181e+04
170.4,5.040e+04,2.900e+03,5.254e+02,5.383e+04
171.9,5.618e+04,3.092e+03,7.060e+02,5.998e+04
173.5,6.075e+04,3.139e+03,7.365e+02,6.462e+04
175.1,5.782e+04,3.284e+03,6.746e+02,6.178e+04
176.7,4.607e+04,3.126e+03,5.934e+02,4.979e+04
178.3,3.775e+04,3.304e+03,5.106e+02,4.156e+04
179.9,3.041e+04,3.279e+03,4.453e+02,3.413e+04
181.5,2.389e+04,2.953e+03,4.018e+02,2.725e+04
183.1,1.793e+04,2.875e+03,4.154e+02,2.122e+04
184.7,1.197e+04,2.835e+03,4.587e+02,1.527e+04
186.3,6.691e+03,2.972e+03,4.952e+02,1.016e+04
187.9,2.937e+03,2.955e+03,4.884e+02,6.380e+03
189.5,1.485e+03,2.972e+03,5.022e+02,4.959e+03
191.1,1.147e+03,2.658e+03,4.841e+02,4.288e+03
192.6,1.332e+03,2.174e+03,4.736e+02,3.980e+03
194.2,1.850e+03,1.733e+03,4.674e+02,4.051e+03
195.8,2.450e+03,1.434e+03,4.769e+02,4.360e+03
197.4,2.956e+03,1.093e+03,5.173e+02,4.566e+03
199.0,3.327e+03,8.031e+02,5.167e+02,4.647e+03
