freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.244e+01,1.837e+02,2.951e+03,3.167e+03
1.5,1.756e+02,1.097e+03,1.453e+04,1.580e+04
3.0,2.033e+02,1.183e+03,1.547e+04,1.686e+04
4.5,1.790e+02,1.215e+03,1.730e+04,1.869e+04
5.9,1.897e+02,1.242e+03,2.021e+04,2.164e+04
7.4,1.732e+02,1.021e+03,1.765e+04,1.884e+04
8.9,1.718e+02,1.004e+03,1.834e+04,1.951e+04
10.4,1.960e+02,1.149e+03,2.052e+04,2.186e+04
11.9,2.389e+02,1.223e+03,2.613e+04,2.759e+04
13.4,2.206e+02,1.374e+03,3.344e+04,3.504e+04
14.9,2.266e+02,1.422e+03,3.461e+04,3.626e+04
16.4,2.609e+02,1.382e+03,3.637e+04,3.801e+04
17.8,2.922e+02,1.550e+03,4.356e+04,4.540e+04
19.3,3.019e+02,1.509e+03,4.545e+04,4.726e+04
20.8,3.051e+02,1.485e+03,4.492e+04,4.671e+04
22.3,2.749e+02,1.480e+03,5.436e+04,5.612e+04
23.8,3.919e+02,1.715e+03,6.462e+04,6.672e+04
25.3,4.869e+02,1.908e+03,6.559e+04,6.798e+04
26.8,5.874e+02,2.543e+03,8.398e+04,8.711e+04
28.2,6.610e+02,4.573e+03,9.396e+04,9.919e+04
29.7,7.288e+02,6.197e+03,1.030e+05,1.099e+05
31.2,1.473e+03,8.142e+03,1.344e+05,1.440e+05
32.7,3.892e+03,8.776e+03,1.371e+05,1.498e+05
34.2,8.380e+03,7.740e+03,1.906e+05,2.068e+05
35.7,6.595e+03,8.592e+03,2.183e+05,2.335e+05
37.2,4.578e+03,1.164e+04,2.457e+05,2.619e+05
38.7,2.525e+03,8.730e+03,2.661e+05,2.774e+05
40.1,1.579e+03,8.480e+03,3.568e+05,3.668e+05
41.6,1.253e+03,1.180e+04,5.808e+05,5.939e+05
43.1,6.542e+02,7.007e+03,3.291e+05,3.368e+05
44.6,5.248e+02,6.738e+03,2.830e+05,2.903e+05
46.1,7.090e+02,1.119e+04,5.713e+05,5.832e+05
47.6,1.026e+03,1.514e+04,8.467e+05,8.629e+05
49.1,8.291e+02,1.289e+04,6.062e+05,6.200e+05
50.5,1.014e+03,2.050e+04,8.682e+05,8.897e+05
52.0,1.096e+03,2.833e+04,1.091e+06,1.120e+06
53.5,8.916e+02,2.581e+04,8.077e+05,8.344e+05
55.0,9.275e+02,2.547e+04,6.892e+05,7.156e+05
56.5,1.414e+03,3.180e+04,8.001e+05,8.333e+05
58.0,1.688e+03,3.279e+04,8.140e+05,8.484e+05
59.5,1.409e+03,3.214e+04,8.445e+05,8.781e+05
60.9,1.160e+03,2.431e+04,6.058e+05,6.313e+05
62.4,1.149e+03,1.867e+04,3.772e+05,3.970e+05
63.9,2.088e+03,2.962e+04,5.023e+05,5.340e+05
65.4,3.219e+03,3.562e+04,4.394e+05,4.783e+05
66.9,4.024e+03,3.790e+04,3.756e+05,4.175e+05
68.4,2.952e+03,2.732e+04,3.010e+05,3.313e+05
69.9,2.803e+03,2.657e+04,2.983e+05,3.277e+05
71.4,2.029e+03,1.683e+04,1.625e+05,1.814e+05
72.8,1.636e+03,1.478e+04,1.545e+05,1.709e+05
74.3,1.503e+03,1.319e+04,1.375e+05,1.522e+05
75.8,1.557e+03,1.111e+04,1.082e+05,1.209e+05
77.3,2.531e+03,1.368e+04,1.001e+05,1.163e+05
78.8,3.166e+03,1.613e+04,1.020e+05,1.213e+05
80.3,2.867e+03,1.591e+04,8.847e+04,1.072e+05
81.8,4.178e+03,2.336e+04,1.228e+05,1.503e+05
83.2,3.378e+03,2.099e+04,1.704e+05,1.947e+05
84.7,2.594e+03,1.631e+04,1.454e+05,1.643e+05
86.2,1.645e+03,1.276e+04,1.359e+05,1.504e+05
87.7,1.397e+03,1.280e+04,1.483e+05,1.625e+05
89.2,1.886e+03,1.584e+04,1.830e+05,2.007e+05
90.7,2.111e+03,1.253e+04,1.323e+05,1.469e+05
92.2,1.537e+03,1.132e+04,1.216e+05,1.345e+05
93.7,1.254e+03,1.273e+04,1.543e+05,1.683e+05
95.1,1.320e+03,1.050e+04,1.178e+05,1.296e+05
96.6,1.173e+03,8.300e+03,7.621e+04,8.568e+04
98.1,1.563e+03,5.777e+03,4.699e+04,5.433e+04
99.6,1.102e+03,6.048e+03,4.245e+04,4.960e+04
101.1,9.107e+02,6.896e+03,5.100e+04,5.881e+04
102.6,9.645e+02,4.838e+03,3.959e+04,4.540e+04
104.1,8.994e+02,4.293e+03,3.256e+04,3.775e+04
105.5,8.588e+02,4.588e+03,3.296e+04,3.840e+04
107.0,8.128e+02,4.099e+03,3.185e+04,3.677e+04
108.5,6.691e+02,4.283e+03,2.434e+04,2.929e+04
110.0,8.555e+02,5.290e+03,2.461e+04,3.075e+04
111.5,7.874e+02,5.312e+03,2.683e+04,3.293e+04
113.0,7.193e+02,3.999e+03,2.123e+04,2.595e+04
114.5,6.902e+02,4.245e+03,1.984e+04,2.478e+04
116.0,6.785e+02,5.034e+03,2.169e+04,2.740e+04
117.4,5.160e+02,5.033e+03,1.718e+04,2.273e+04
118.9,6.256e+02,4.471e+03,1.526e+04,2.035e+04
120.4,7.975e+02,5.014e+03,1.659e+04,2.240e+04
121.9,6.741e+02,6.160e+03,1.920e+04,2.603e+04
123.4,6.463e+02,7.003e+03,2.029e+04,2.794e+04
124.9,7.877e+02,8.797e+03,2.141e+04,3.099e+04
126.4,8.927e+02,9.285e+03,2.083e+04,3.100e+04
127.8,1.002e+03,1.027e+04,2.041e+04,3.168e+04
129.3,9.898e+02,1.129e+04,1.610e+04,2.838e+04
130.8,9.736e+02,1.068e+04,1.400e+04,2.566e+04
132.3,1.022e+03,1.177e+04,1.386e+04,2.665e+04
133.8,1.252e+03,1.540e+04,1.410e+04,3.075e+04
135.3,1.512e+03,1.553e+04,1.345e+04,3.049e+04
136.8,1.918e+03,1.694e+04,1.459e+04,3.345e+04
138.3,2.974e+03,2.277e+04,1.917e+04,4.492e+04
139.7,3.919e+03,2.363e+04,2.442e+04,5.197e+04
141.2,3.827e+03,1.670e+04,2.453e+04,4.505e+04
142.7,3.608e+03,1.260e+04,2.487e+04,4.108e+04
144.2,4.449e+03,1.298e+04,2.960e+04,4.703e+04
145.7,4.187e+03,1.215e+04,2.749e+04,4.383e+04
147.2,3.512e+03,1.007e+04,2.462e+04,3.820e+04
