freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.406e+00,1.808e+01,7.923e+02,8.168e+02
1.6,1.772e+01,2.615e+01,4.593e+02,5.032e+02
3.2,1.844e+01,2.155e+01,6.396e+01,1.040e+02
4.8,1.616e+01,2.001e+01,6.995e+02,7.357e+02
6.4,1.609e+01,2.457e+01,2.214e+03,2.255e+03
8.0,1.735e+01,3.030e+01,3.687e+03,3.735e+03
9.5,1.849e+01,3.875e+01,5.694e+03,5.751e+03
11.1,1.674e+01,4.999e+01,8.518e+03,8.585e+03
12.7,1.718e+01,5.920e+01,1.188e+04,1.195e+04
14.3,2.187e+01,6.982e+01,1.576e+04,1.585e+04
15.9,2.592e+01,9.141e+01,2.117e+04,2.129e+04
17.5,2.606e+01,1.167e+02,2.872e+04,2.886e+04
19.1,3.565e+01,1.594e+02,3.871e+04,3.890e+04
20.7,4.680e+01,2.264e+02,5.394e+04,5.422e+04
22.3,6.404e+01,2.937e+02,7.729e+04,7.765e+04
23.9,9.455e+01,3.836e+02,1.003e+05,1.008e+05
25.5,9.292e+01,5.557e+02,9.801e+04,9.865e+04
27.1,7.047e+01,1.016e+03,1.116e+05,1.127e+05
28.6,6.623e+01,1.970e+03,1.814e+05,1.835e+05
30.2,1.138e+02,4.766e+03,3.769e+05,3.818e+05
31.8,4.432e+02,1.542e+04,9.038e+05,9.196e+05
33.4,5.800e+02,2.409e+04,1.458e+06,1.483e+06
35.0,3.094e+02,1.886e+04,1.572e+06,1.592e+06
36.6,2.308e+02,1.582e+04,1.444e+06,1.460e+06
38.2,2.834e+02,1.352e+04,1.171e+06,1.185e+06
39.8,3.762e+02,1.086e+04,8.799e+05,8.912e+05
41.4,3.924e+02,8.917e+03,6.661e+05,6.754e+05
43.0,3.815e+02,7.796e+03,5.426e+05,5.508e+05
44.6,4.259e+02,7.316e+03,4.697e+05,4.774e+05
46.1,5.876e+02,7.501e+03,4.246e+05,4.327e+05
47.7,6.958e+02,7.302e+03,3.923e+05,4.003e+05
49.3,6.553e+02,7.386e+03,3.652e+05,3.732e+05
50.9,6.134e+02,7.515e+03,3.524e+05,3.606e+05
52.5,6.098e+02,6.973e+03,3.542e+05,3.618e+05
54.1,6.791e+02,8.161e+03,3.404e+05,3.492e+05
55.7,8.696e+02,1.037e+04,2.998e+05,3.110e+05
57.3,1.136e+03,1.145e+04,2.568e+05,2.694e+05
58.9,1.008e+03,9.698e+03,1.731e+05,1.838e+05
60.5,9.167e+02,7.315e+03,9.333e+04,1.016e+05
62.1,8.951e+02,6.018e+03,5.369e+04,6.060e+04
63.6,8.904e+02,5.439e+03,3.369e+04,4.002e+04
65.2,1.065e+03,6.097e+03,2.372e+04,3.088e+04
66.8,1.072e+03,7.100e+03,1.889e+04,2.706e+04
68.4,1.172e+03,7.521e+03,1.568e+04,2.438e+04
70.0,1.550e+03,7.825e+03,1.386e+04,2.324e+04
71.6,1.607e+03,9.577e+03,1.481e+04,2.600e+04
73.2,1.399e+03,1.330e+04,1.972e+04,3.442e+04
74.8,1.039e+03,1.915e+04,2.954e+04,4.973e+04
76.4,8.445e+02,2.620e+04,4.034e+04,6.738e+04
78.0,9.647e+02,3.358e+04,4.865e+04,8.319e+04
79.6,1.306e+03,4.033e+04,5.243e+04,9.406e+04
81.2,1.845e+03,4.515e+04,5.196e+04,9.896e+04
82.7,1.990e+03,4.371e+04,4.508e+04,9.078e+04
84.3,2.078e+03,3.567e+04,3.493e+04,7.268e+04
85.9,2.313e+03,3.507e+04,3.172e+04,6.910e+04
87.5,2.544e+03,4.125e+04,3.107e+04,7.487e+04
89.1,2.050e+03,3.276e+04,2.061e+04,5.541e+04
90.7,1.041e+03,7.225e+03,3.813e+03,1.208e+04
92.3,7.629e+02,1.640e+03,4.304e+02,2.833e+03
93.9,5.213e+02,1.030e+03,2.117e+02,1.763e+03
95.5,3.291e+02,6.212e+02,1.334e+02,1.084e+03
97.1,2.137e+02,4.059e+02,1.606e+02,7.802e+02
98.7,1.540e+02,2.718e+02,2.173e+02,6.431e+02
100.2,1.718e+02,2.042e+02,2.416e+02,6.176e+02
101.8,1.799e+02,2.245e+02,2.834e+02,6.878e+02
103.4,1.727e+02,2.269e+02,3.299e+02,7.294e+02
105.0,3.079e+02,1.516e+02,2.531e+02,7.125e+02
106.6,2.582e+02,1.116e+02,1.486e+02,5.184e+02
108.2,1.454e+02,1.266e+02,1.455e+02,4.175e+02
109.8,1.508e+02,1.190e+02,1.784e+02,4.482e+02
111.4,1.965e+02,1.078e+02,2.057e+02,5.100e+02
113.0,4.006e+02,1.349e+02,2.447e+02,7.801e+02
114.6,5.765e+02,1.579e+02,2.406e+02,9.750e+02
116.2,6.422e+02,1.460e+02,2.824e+02,1.071e+03
117.8,7.432e+02,1.338e+02,3.609e+02,1.238e+03
119.3,8.555e+02,1.548e+02,3.831e+02,1.393e+03
120.9,1.256e+03,1.616e+02,4.467e+02,1.864e+03
122.5,1.343e+03,2.056e+02,4.615e+02,2.011e+03
124.1,1.824e+03,2.560e+02,4.864e+02,2.566e+03
125.7,2.632e+03,3.057e+02,5.251e+02,3.463e+03
127.3,3.653e+03,3.416e+02,5.450e+02,4.540e+03
128.9,5.228e+03,3.561e+02,6.230e+02,6.207e+03
130.5,7.400e+03,3.272e+02,7.585e+02,8.485e+03
132.1,8.910e+03,3.247e+02,8.636e+02,1.010e+04
133.7,1.085e+04,4.316e+02,9.415e+02,1.222e+04
135.3,1.300e+04,5.512e+02,9.563e+02,1.451e+04
136.8,1.484e+04,6.532e+02,9.548e+02,1.645e+04
138.4,1.785e+04,7.523e+02,9.294e+02,1.953e+04
140.0,2.967e+04,8.204e+02,1.258e+03,3.175e+04
141.6,3.052e+04,8.247e+02,1.271e+03,3.261e+04
143.2,2.137e+04,8.758e+02,8.777e+02,2.313e+04
144.8,1.804e+04,9.820e+02,7.466e+02,1.977e+04
146.4,1.767e+04,1.012e+03,7.020e+02,1.939e+04
148.0,1.645e+04,9.790e+02,5.979e+02,1.803e+04
149.6,1.444e+04,8.914e+02,5.032e+02,1.583e+04
151.2,1.327e+04,8.887e+02,4.578e+02,1.461e+04
152.8,1.292e+04,9.961e+02,4.295e+02,1.434e+04
154.3,1.268e+04,1.083e+03,4.198e+02,1.418e+04
155.9,1.199e+04,1.195e+03,4.336e+02,1.362e+04
157.5,1.174e+04,1.224e+03,4.382e+02,1.340e+04
159.1,9.481e+03,1.201e+03,3.701e+02,1.105e+04
160.7,1.015e+04,1.193e+03,3.222e+02,1.166e+04
162.3,1.114e+04,1.207e+03,3.087e+02,1.265e+04
163.9,1.082e+04,1.118e+03,2.696e+02,1.221e+04
165.5,9.794e+03,9.597e+02,2.218e+02,1.098e+04
167.1,8.479e+03,7.499e+02,1.924e+02,9.422e+03
168.7,7.594e+03,5.874e+02,1.877e+02,8.369e+03
170.3,5.334e+03,4.835e+02,1.909e+02,6.008e+03
171.9,3.344e+03,5.410e+02,1.953e+02,4.080e+03
173.4,2.448e+03,7.318e+02,2.219e+02,3.401e+03
175.0,1.270e+03,8.184e+02,2.779e+02,2.367e+03
176.6,7.026e+02,9.539e+02,3.466e+02,2.003e+03
178.2,5.771e+02,1.067e+03,3.806e+02,2.024e+03
179.8,5.952e+02,1.082e+03,3.943e+02,2.071e+03
181.4,6.227e+02,1.057e+03,4.184e+02,2.098e+03
183.0,7.008e+02,1.046e+03,4.355e+02,2.183e+03
184.6,8.033e+02,1.048e+03,4.577e+02,2.309e+03
186.2,9.862e+02,1.044e+03,4.704e+02,2.501e+03
187.8,1.210e+03,1.051e+03,5.085e+02,2.770e+03
189.4,1.210e+03,9.647e+02,5.046e+02,2.679e+03
190.9,1.332e+03,9.488e+02,5.496e+02,2.831e+03
192.5,1.265e+03,9.130e+02,5.851e+02,2.764e+03
194.1,1.241e+03,1.054e+03,7.216e+02,3.016e+03
195.7,1.303e+03,1.146e+03,8.263e+02,3.275e+03
197.3,1.258e+03,1.135e+03,8.202e+02,3.213e+03
198.9,1.293e+03,1.094e+03,8.267e+02,3.214e+03
