freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.394e+03,2.285e+03,8.872e+01,3.768e+03
1.4,8.027e+03,9.668e+03,6.172e+02,1.831e+04
2.8,9.305e+03,1.387e+04,7.518e+02,2.393e+04
4.1,8.559e+03,1.447e+04,6.691e+02,2.369e+04
5.5,8.550e+03,1.495e+04,6.899e+02,2.419e+04
6.9,8.206e+03,1.648e+04,6.362e+02,2.532e+04
8.3,8.084e+03,1.965e+04,7.197e+02,2.845e+04
9.6,8.091e+03,2.349e+04,6.916e+02,3.228e+04
11.0,8.765e+03,2.826e+04,6.888e+02,3.771e+04
12.4,7.130e+03,3.093e+04,7.606e+02,3.882e+04
13.8,7.308e+03,3.916e+04,7.769e+02,4.724e+04
15.1,8.193e+03,4.568e+04,7.036e+02,5.457e+04
16.5,8.390e+03,5.827e+04,8.090e+02,6.747e+04
17.9,9.088e+03,7.494e+04,7.196e+02,8.475e+04
19.3,9.244e+03,1.165e+05,7.255e+02,1.264e+05
20.6,9.767e+03,1.682e+05,8.622e+02,1.788e+05
22.0,1.168e+04,2.299e+05,9.780e+02,2.425e+05
23.4,1.320e+04,3.049e+05,1.271e+03,3.193e+05
24.8,1.495e+04,3.340e+05,1.856e+03,3.508e+05
26.1,1.847e+04,5.166e+05,2.803e+03,5.379e+05
27.5,2.134e+04,7.462e+05,4.629e+03,7.722e+05
28.9,2.631e+04,8.844e+05,6.705e+03,9.174e+05
30.3,2.478e+04,5.766e+05,4.862e+03,6.063e+05
31.6,3.248e+04,4.573e+05,5.846e+03,4.957e+05
33.0,7.494e+04,5.365e+05,1.276e+04,6.242e+05
34.4,1.310e+05,7.349e+05,2.033e+04,8.862e+05
35.8,1.427e+05,7.528e+05,1.932e+04,9.148e+05
37.1,1.092e+05,5.770e+05,1.347e+04,6.997e+05
38.5,1.028e+05,5.529e+05,1.187e+04,6.675e+05
39.9,7.382e+04,3.796e+05,7.238e+03,4.607e+05
41.3,8.080e+04,4.142e+05,6.338e+03,5.014e+05
42.6,7.657e+04,3.880e+05,6.214e+03,4.708e+05
44.0,6.280e+04,2.611e+05,4.799e+03,3.287e+05
45.4,6.448e+04,2.288e+05,4.192e+03,2.975e+05
46.8,7.870e+04,2.550e+05,4.598e+03,3.383e+05
48.1,1.053e+05,3.242e+05,5.657e+03,4.352e+05
49.5,1.001e+05,2.732e+05,4.100e+03,3.774e+05
50.9,9.357e+04,2.282e+05,3.725e+03,3.255e+05
52.3,7.964e+04,1.717e+05,3.594e+03,2.549e+05
53.6,8.347e+04,1.587e+05,3.739e+03,2.459e+05
55.0,8.114e+04,1.323e+05,4.741e+03,2.182e+05
56.4,1.088e+05,1.543e+05,6.154e+03,2.692e+05
57.8,1.241e+05,1.625e+05,6.676e+03,2.933e+05
59.1,9.617e+04,1.196e+05,5.975e+03,2.217e+05
60.5,9.744e+04,1.108e+05,5.989e+03,2.143e+05
61.9,1.062e+05,1.003e+05,6.825e+03,2.133e+05
63.3,1.216e+05,1.022e+05,7.181e+03,2.310e+05
64.6,1.145e+05,9.577e+04,7.388e+03,2.177e+05
66.0,9.666e+04,7.646e+04,8.520e+03,1.816e+05
67.4,1.089e+05,8.343e+04,1.020e+04,2.025e+05
68.8,1.292e+05,8.473e+04,1.009e+04,2.241e+05
70.1,1.126e+05,7.013e+04,9.790e+03,1.925e+05
71.5,8.499e+04,5.011e+04,9.514e+03,1.446e+05
72.9,6.396e+04,4.089e+04,5.431e+03,1.103e+05
74.3,7.236e+04,4.267e+04,6.261e+03,1.213e+05
75.6,8.453e+04,4.342e+04,8.511e+03,1.365e+05
77.0,7.903e+04,3.594e+04,8.123e+03,1.231e+05
78.4,1.227e+05,4.721e+04,8.642e+03,1.786e+05
79.8,1.617e+05,5.661e+04,8.916e+03,2.272e+05
81.1,1.588e+05,5.163e+04,9.703e+03,2.202e+05
82.5,1.358e+05,4.450e+04,9.496e+03,1.898e+05
83.9,1.035e+05,3.517e+04,7.485e+03,1.462e+05
85.3,9.412e+04,2.776e+04,6.953e+03,1.288e+05
86.6,6.843e+04,1.844e+04,6.225e+03,9.309e+04
88.0,5.446e+04,1.545e+04,6.080e+03,7.599e+04
89.4,5.366e+04,1.499e+04,6.319e+03,7.497e+04
90.8,5.328e+04,1.315e+04,5.461e+03,7.189e+04
92.1,4.366e+04,1.246e+04,4.956e+03,6.108e+04
93.5,4.491e+04,1.147e+04,4.718e+03,6.110e+04
