freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.221e+02,2.905e+03,8.638e+01,3.113e+03
1.4,6.013e+02,1.031e+04,4.271e+02,1.134e+04
2.7,8.176e+02,1.625e+04,5.128e+02,1.758e+04
4.1,9.046e+02,1.829e+04,5.659e+02,1.976e+04
5.5,8.877e+02,1.821e+04,4.773e+02,1.958e+04
6.8,7.914e+02,2.070e+04,4.951e+02,2.198e+04
8.2,8.158e+02,2.146e+04,4.486e+02,2.272e+04
9.5,8.159e+02,2.467e+04,5.003e+02,2.599e+04
10.9,8.208e+02,2.852e+04,6.015e+02,2.994e+04
12.3,8.488e+02,3.269e+04,5.070e+02,3.404e+04
13.6,9.781e+02,3.853e+04,5.774e+02,4.008e+04
15.0,1.061e+03,4.814e+04,6.151e+02,4.982e+04
16.4,1.176e+03,6.121e+04,6.190e+02,6.300e+04
17.7,1.103e+03,6.983e+04,6.633e+02,7.159e+04
19.1,1.065e+03,6.377e+04,6.531e+02,6.548e+04
20.5,1.089e+03,7.532e+04,5.792e+02,7.698e+04
21.8,1.427e+03,1.060e+05,7.003e+02,1.081e+05
23.2,1.647e+03,1.167e+05,7.438e+02,1.191e+05
24.6,1.477e+03,1.145e+05,7.373e+02,1.167e+05
25.9,1.464e+03,1.456e+05,7.326e+02,1.478e+05
27.3,1.973e+03,2.387e+05,9.351e+02,2.416e+05
28.6,2.714e+03,4.122e+05,1.285e+03,4.162e+05
30.0,3.849e+03,5.580e+05,1.825e+03,5.637e+05
31.4,5.143e+03,6.823e+05,2.091e+03,6.896e+05
32.7,7.776e+03,1.019e+06,2.721e+03,1.029e+06
34.1,1.229e+04,1.368e+06,5.220e+03,1.386e+06
35.5,2.078e+04,2.080e+06,9.799e+03,2.110e+06
36.8,1.893e+04,1.665e+06,1.040e+04,1.694e+06
38.2,1.389e+04,1.077e+06,9.581e+03,1.101e+06
39.6,1.020e+04,6.857e+05,9.513e+03,7.054e+05
40.9,1.177e+04,7.411e+05,1.261e+04,7.655e+05
42.3,6.710e+03,4.104e+05,7.884e+03,4.250e+05
43.7,7.451e+03,4.310e+05,8.835e+03,4.473e+05
45.0,6.570e+03,3.799e+05,8.435e+03,3.949e+05
46.4,6.255e+03,3.608e+05,8.525e+03,3.756e+05
47.7,5.864e+03,4.028e+05,1.012e+04,4.188e+05
49.1,5.060e+03,3.150e+05,9.161e+03,3.293e+05
50.5,4.372e+03,2.705e+05,8.785e+03,2.836e+05
51.8,3.795e+03,2.052e+05,7.733e+03,2.167e+05
53.2,3.077e+03,1.221e+05,6.049e+03,1.312e+05
54.6,3.539e+03,1.001e+05,7.286e+03,1.109e+05
55.9,3.639e+03,8.510e+04,7.785e+03,9.652e+04
57.3,4.314e+03,7.533e+04,8.198e+03,8.784e+04
58.7,5.488e+03,7.966e+04,1.136e+04,9.651e+04
60.0,4.678e+03,6.206e+04,9.631e+03,7.637e+04
61.4,4.648e+03,5.819e+04,9.380e+03,7.222e+04
62.8,5.863e+03,6.267e+04,9.381e+03,7.792e+04
64.1,7.416e+03,6.393e+04,8.646e+03,8.000e+04
65.5,7.186e+03,5.602e+04,8.294e+03,7.150e+04
66.8,6.030e+03,4.445e+04,7.760e+03,5.824e+04
68.2,5.621e+03,3.349e+04,7.015e+03,4.613e+04
69.6,6.626e+03,4.251e+04,6.410e+03,5.555e+04
70.9,6.572e+03,4.384e+04,6.442e+03,5.685e+04
72.3,6.755e+03,3.248e+04,4.975e+03,4.421e+04
73.7,7.390e+03,2.676e+04,4.876e+03,3.903e+04
75.0,8.831e+03,2.499e+04,4.086e+03,3.791e+04
76.4,1.175e+04,2.428e+04,3.716e+03,3.975e+04
77.8,1.099e+04,2.566e+04,3.956e+03,4.060e+04
79.1,1.008e+04,2.776e+04,3.861e+03,4.170e+04
80.5,1.069e+04,2.681e+04,3.504e+03,4.101e+04
81.9,1.129e+04,2.391e+04,3.270e+03,3.847e+04
83.2,1.045e+04,2.161e+04,3.331e+03,3.539e+04
84.6,9.248e+03,2.041e+04,3.124e+03,3.278e+04
85.9,1.178e+04,2.169e+04,2.856e+03,3.632e+04
87.3,1.366e+04,2.080e+04,2.645e+03,3.711e+04
88.7,1.259e+04,2.029e+04,3.043e+03,3.593e+04
90.0,1.445e+04,2.065e+04,2.804e+03,3.791e+04
91.4,1.299e+04,1.853e+04,2.587e+03,3.410e+04
92.8,1.262e+04,1.699e+04,2.498e+03,3.210e+04
94.1,1.172e+04,1.452e+04,2.649e+03,2.889e+04
95.5,9.935e+03,1.342e+04,3.154e+03,2.650e+04
96.9,1.138e+04,1.701e+04,3.060e+03,3.145e+04
98.2,9.857e+03,1.341e+04,2.982e+03,2.625e+04
99.6,8.870e+03,1.180e+04,3.059e+03,2.373e+04
100.9,8.762e+03,1.221e+04,2.935e+03,2.390e+04
102.3,6.509e+03,9.715e+03,2.651e+03,1.887e+04
103.7,4.898e+03,7.528e+03,2.340e+03,1.477e+04
105.0,4.841e+03,7.998e+03,2.291e+03,1.513e+04
106.4,4.582e+03,7.751e+03,2.535e+03,1.487e+04
107.8,4.909e+03,7.484e+03,2.568e+03,1.496e+04
109.1,5.793e+03,9.454e+03,2.472e+03,1.772e+04
110.5,4.096e+03,7.215e+03,2.141e+03,1.345e+04
111.9,2.756e+03,5.580e+03,2.395e+03,1.073e+04
