freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.423e+02,1.603e+03,3.591e+03,5.337e+03
1.4,6.654e+02,8.131e+03,1.075e+04,1.955e+04
2.7,8.426e+02,1.102e+04,1.064e+04,2.251e+04
4.1,7.931e+02,1.090e+04,1.222e+04,2.391e+04
5.5,6.580e+02,8.107e+03,1.323e+04,2.199e+04
6.9,6.151e+02,8.059e+03,1.711e+04,2.578e+04
8.2,7.259e+02,9.847e+03,2.099e+04,3.156e+04
9.6,7.193e+02,9.300e+03,2.374e+04,3.376e+04
11.0,8.087e+02,8.562e+03,2.868e+04,3.805e+04
12.4,9.002e+02,9.908e+03,3.399e+04,4.480e+04
13.7,8.800e+02,1.027e+04,3.960e+04,5.075e+04
15.1,7.591e+02,1.228e+04,5.198e+04,6.502e+04
16.5,8.543e+02,1.223e+04,5.262e+04,6.571e+04
17.9,1.079e+03,1.163e+04,9.054e+04,1.033e+05
19.2,1.057e+03,1.235e+04,9.720e+04,1.106e+05
20.6,1.293e+03,1.112e+04,1.769e+05,1.893e+05
22.0,1.380e+03,1.288e+04,2.323e+05,2.466e+05
23.4,1.418e+03,1.431e+04,2.873e+05,3.031e+05
24.7,1.584e+03,1.654e+04,3.883e+05,4.064e+05
26.1,2.160e+03,1.859e+04,3.952e+05,4.159e+05
27.5,4.072e+03,2.266e+04,5.778e+05,6.045e+05
28.9,5.744e+03,2.830e+04,6.900e+05,7.241e+05
30.2,6.983e+03,3.884e+04,4.924e+05,5.383e+05
31.6,9.355e+03,5.803e+04,4.169e+05,4.843e+05
33.0,1.431e+04,8.171e+04,5.194e+05,6.154e+05
34.4,2.122e+04,1.189e+05,7.070e+05,8.471e+05
35.7,2.817e+04,1.670e+05,9.981e+05,1.193e+06
37.1,2.158e+04,1.497e+05,8.650e+05,1.036e+06
38.5,1.598e+04,1.135e+05,6.015e+05,7.310e+05
39.9,1.742e+04,1.472e+05,7.678e+05,9.324e+05
41.2,1.110e+04,1.205e+05,6.035e+05,7.351e+05
42.6,5.382e+03,7.195e+04,3.082e+05,3.855e+05
44.0,5.368e+03,7.934e+04,3.175e+05,4.022e+05
45.3,4.867e+03,8.222e+04,2.860e+05,3.731e+05
46.7,4.575e+03,1.042e+05,3.247e+05,4.334e+05
48.1,4.216e+03,1.070e+05,3.149e+05,4.261e+05
49.5,3.632e+03,9.630e+04,2.593e+05,3.593e+05
50.8,3.527e+03,9.350e+04,2.039e+05,3.009e+05
52.2,4.311e+03,1.348e+05,2.418e+05,3.809e+05
53.6,5.252e+03,1.372e+05,2.234e+05,3.658e+05
55.0,6.432e+03,1.277e+05,1.767e+05,3.107e+05
56.3,7.629e+03,1.512e+05,1.753e+05,3.342e+05
57.7,7.140e+03,1.450e+05,1.615e+05,3.136e+05
59.1,6.673e+03,1.204e+05,1.251e+05,2.521e+05
60.5,7.551e+03,1.320e+05,1.204e+05,2.600e+05
61.8,1.084e+04,2.000e+05,1.478e+05,3.587e+05
63.2,1.175e+04,1.639e+05,1.346e+05,3.102e+05
64.6,1.177e+04,1.606e+05,1.183e+05,2.907e+05
