freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.411e+02,2.308e+03,6.223e+01,2.611e+03
1.4,1.004e+03,9.392e+03,3.427e+02,1.074e+04
2.7,1.157e+03,1.437e+04,3.561e+02,1.588e+04
4.1,1.105e+03,1.522e+04,4.041e+02,1.673e+04
5.5,8.999e+02,1.699e+04,4.373e+02,1.833e+04
6.8,6.582e+02,1.873e+04,4.566e+02,1.984e+04
8.2,8.037e+02,2.059e+04,4.345e+02,2.183e+04
9.6,1.008e+03,2.781e+04,4.964e+02,2.931e+04
10.9,1.057e+03,3.249e+04,5.506e+02,3.409e+04
12.3,1.032e+03,3.417e+04,5.329e+02,3.574e+04
13.7,9.745e+02,3.737e+04,5.765e+02,3.892e+04
15.0,9.794e+02,4.161e+04,5.280e+02,4.312e+04
16.4,1.114e+03,5.216e+04,4.627e+02,5.374e+04
17.8,1.183e+03,6.797e+04,5.196e+02,6.967e+04
19.1,1.213e+03,6.901e+04,6.040e+02,7.083e+04
20.5,1.152e+03,7.601e+04,6.716e+02,7.783e+04
21.8,1.042e+03,9.089e+04,6.731e+02,9.261e+04
23.2,1.253e+03,1.176e+05,6.800e+02,1.195e+05
24.6,1.614e+03,1.348e+05,6.449e+02,1.370e+05
25.9,1.725e+03,1.755e+05,7.386e+02,1.780e+05
27.3,2.078e+03,2.432e+05,9.495e+02,2.463e+05
28.7,2.648e+03,3.569e+05,1.270e+03,3.608e+05
30.0,3.966e+03,6.258e+05,1.408e+03,6.312e+05
31.4,5.781e+03,8.663e+05,2.032e+03,8.741e+05
32.8,9.259e+03,1.296e+06,3.399e+03,1.309e+06
34.1,1.512e+04,1.741e+06,6.422e+03,1.762e+06
35.5,1.704e+04,1.607e+06,8.714e+03,1.632e+06
36.9,1.258e+04,1.033e+06,7.527e+03,1.053e+06
38.2,8.843e+03,6.408e+05,6.359e+03,6.560e+05
39.6,1.095e+04,6.834e+05,9.257e+03,7.036e+05
41.0,1.153e+04,6.975e+05,1.108e+04,7.201e+05
42.3,9.313e+03,5.530e+05,1.003e+04,5.723e+05
43.7,6.733e+03,3.954e+05,7.724e+03,4.099e+05
45.1,4.529e+03,2.971e+05,6.019e+03,3.076e+05
46.4,5.315e+03,3.596e+05,7.821e+03,3.728e+05
47.8,5.612e+03,3.688e+05,8.619e+03,3.831e+05
49.2,5.379e+03,2.670e+05,7.556e+03,2.800e+05
50.5,4.697e+03,2.092e+05,7.034e+03,2.209e+05
51.9,4.502e+03,2.672e+05,9.364e+03,2.811e+05
53.3,3.737e+03,1.826e+05,7.934e+03,1.942e+05
54.6,3.505e+03,1.177e+05,7.534e+03,1.287e+05
56.0,3.537e+03,8.771e+04,8.667e+03,9.992e+04
57.4,3.840e+03,9.642e+04,9.646e+03,1.099e+05
58.7,3.807e+03,6.527e+04,9.059e+03,7.814e+04
60.1,4.353e+03,5.585e+04,1.051e+04,7.072e+04
61.4,4.529e+03,4.977e+04,8.193e+03,6.249e+04
62.8,4.799e+03,5.684e+04,8.860e+03,7.049e+04
64.2,6.421e+03,6.024e+04,9.934e+03,7.660e+04
65.5,8.792e+03,4.945e+04,9.655e+03,6.790e+04
66.9,8.233e+03,4.108e+04,8.438e+03,5.776e+04
68.3,6.380e+03,3.429e+04,7.486e+03,4.815e+04
69.6,6.065e+03,3.108e+04,7.060e+03,4.421e+04
71.0,5.913e+03,2.265e+04,4.836e+03,3.340e+04
72.4,6.422e+03,2.370e+04,4.308e+03,3.443e+04
73.7,6.576e+03,2.434e+04,4.349e+03,3.526e+04
75.1,1.043e+04,2.612e+04,4.408e+03,4.096e+04
76.5,1.580e+04,2.774e+04,4.255e+03,4.779e+04
77.8,1.797e+04,2.771e+04,3.746e+03,4.943e+04
79.2,1.016e+04,2.305e+04,3.314e+03,3.653e+04
80.6,9.960e+03,2.295e+04,3.747e+03,3.665e+04
81.9,1.380e+04,2.767e+04,3.874e+03,4.535e+04
83.3,1.202e+04,2.101e+04,2.650e+03,3.568e+04
84.7,1.269e+04,2.248e+04,2.875e+03,3.804e+04
86.0,1.187e+04,2.008e+04,2.580e+03,3.453e+04
87.4,1.074e+04,1.716e+04,2.572e+03,3.046e+04
88.8,1.099e+04,1.759e+04,2.894e+03,3.148e+04
90.1,1.355e+04,1.846e+04,2.876e+03,3.489e+04
91.5,1.557e+04,1.980e+04,2.952e+03,3.832e+04
92.9,1.852e+04,2.274e+04,2.976e+03,4.423e+04
94.2,1.496e+04,1.902e+04,3.080e+03,3.706e+04
95.6,1.016e+04,1.386e+04,2.691e+03,2.672e+04
97.0,9.312e+03,1.363e+04,2.541e+03,2.549e+04
98.3,8.837e+03,1.270e+04,2.398e+03,2.393e+04
99.7,1.146e+04,1.548e+04,2.675e+03,2.962e+04
101.0,8.547e+03,1.103e+04,3.338e+03,2.292e+04
102.4,5.233e+03,7.045e+03,2.750e+03,1.503e+04
103.8,4.393e+03,6.620e+03,2.432e+03,1.345e+04
105.1,4.898e+03,7.453e+03,2.637e+03,1.499e+04
106.5,4.405e+03,6.755e+03,2.575e+03,1.373e+04
