freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.749e+02,2.236e+03,8.196e+01,2.493e+03
1.4,7.801e+02,1.000e+04,4.341e+02,1.122e+04
2.7,9.380e+02,1.526e+04,4.503e+02,1.665e+04
4.1,9.754e+02,1.801e+04,4.669e+02,1.946e+04
5.5,8.651e+02,1.739e+04,5.274e+02,1.879e+04
6.9,8.752e+02,1.771e+04,5.205e+02,1.911e+04
8.2,8.672e+02,1.882e+04,4.149e+02,2.010e+04
9.6,9.294e+02,2.395e+04,4.951e+02,2.537e+04
11.0,1.126e+03,3.041e+04,6.030e+02,3.214e+04
12.4,1.042e+03,2.804e+04,6.091e+02,2.969e+04
13.7,1.056e+03,3.516e+04,6.245e+02,3.684e+04
15.1,1.219e+03,4.746e+04,5.857e+02,4.926e+04
16.5,9.959e+02,5.605e+04,5.630e+02,5.761e+04
17.9,1.072e+03,6.373e+04,6.882e+02,6.549e+04
19.2,1.264e+03,6.672e+04,7.496e+02,6.874e+04
20.6,1.094e+03,9.291e+04,6.560e+02,9.466e+04
22.0,1.268e+03,1.037e+05,7.187e+02,1.057e+05
23.4,1.235e+03,1.342e+05,7.943e+02,1.362e+05
24.7,1.325e+03,1.512e+05,8.088e+02,1.533e+05
26.1,1.651e+03,2.000e+05,8.926e+02,2.026e+05
27.5,1.908e+03,2.476e+05,1.050e+03,2.505e+05
28.8,2.860e+03,4.080e+05,1.256e+03,4.121e+05
30.2,3.212e+03,4.965e+05,1.656e+03,5.014e+05
31.6,5.599e+03,9.959e+05,2.296e+03,1.004e+06
33.0,8.577e+03,1.393e+06,3.697e+03,1.405e+06
34.3,1.201e+04,1.837e+06,5.343e+03,1.854e+06
35.7,1.181e+04,1.584e+06,6.627e+03,1.602e+06
37.1,1.254e+04,1.444e+06,8.368e+03,1.465e+06
38.5,7.987e+03,7.264e+05,7.553e+03,7.419e+05
39.8,7.453e+03,5.491e+05,7.951e+03,5.645e+05
41.2,7.808e+03,5.815e+05,9.523e+03,5.988e+05
42.6,8.560e+03,6.567e+05,1.163e+04,6.769e+05
44.0,5.443e+03,3.678e+05,7.732e+03,3.810e+05
45.3,4.450e+03,2.638e+05,6.483e+03,2.747e+05
46.7,5.549e+03,3.037e+05,8.829e+03,3.181e+05
48.1,6.749e+03,4.246e+05,1.298e+04,4.443e+05
49.4,5.054e+03,2.809e+05,1.049e+04,2.965e+05
50.8,3.801e+03,1.745e+05,9.633e+03,1.880e+05
52.2,3.297e+03,1.375e+05,8.857e+03,1.496e+05
53.6,3.861e+03,1.317e+05,1.043e+04,1.460e+05
54.9,4.258e+03,9.865e+04,9.567e+03,1.125e+05
56.3,5.347e+03,8.208e+04,1.066e+04,9.809e+04
57.7,5.013e+03,7.933e+04,1.385e+04,9.819e+04
59.1,4.663e+03,8.655e+04,1.468e+04,1.059e+05
60.4,4.488e+03,6.214e+04,1.172e+04,7.835e+04
61.8,4.146e+03,4.586e+04,1.206e+04,6.207e+04
63.2,5.122e+03,4.248e+04,1.173e+04,5.934e+04
64.6,7.036e+03,4.896e+04,1.227e+04,6.826e+04
65.9,6.848e+03,4.563e+04,1.203e+04,6.450e+04
67.3,6.918e+03,4.454e+04,1.216e+04,6.362e+04
68.7,6.231e+03,3.385e+04,9.746e+03,4.983e+04
70.1,6.361e+03,3.321e+04,7.679e+03,4.725e+04
