freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.265e+03,2.287e+02,1.778e+02,2.672e+03
1.4,1.150e+04,1.311e+03,8.304e+02,1.364e+04
2.7,1.301e+04,1.434e+03,1.007e+03,1.545e+04
4.1,1.551e+04,1.648e+03,1.061e+03,1.822e+04
5.5,1.902e+04,1.714e+03,1.074e+03,2.181e+04
6.9,1.864e+04,1.352e+03,8.735e+02,2.087e+04
8.2,1.878e+04,1.306e+03,8.142e+02,2.090e+04
9.6,2.242e+04,1.576e+03,9.450e+02,2.494e+04
11.0,2.283e+04,1.842e+03,1.148e+03,2.582e+04
12.4,2.381e+04,1.879e+03,1.218e+03,2.690e+04
13.7,2.548e+04,1.674e+03,1.127e+03,2.828e+04
15.1,2.674e+04,1.646e+03,1.114e+03,2.950e+04
16.5,2.944e+04,1.413e+03,1.250e+03,3.210e+04
17.9,3.686e+04,1.338e+03,1.728e+03,3.992e+04
19.2,4.050e+04,1.445e+03,2.079e+03,4.403e+04
20.6,4.024e+04,1.646e+03,2.730e+03,4.462e+04
22.0,4.479e+04,1.761e+03,4.295e+03,5.084e+04
23.3,4.521e+04,1.783e+03,5.599e+03,5.259e+04
24.7,4.854e+04,1.648e+03,7.147e+03,5.734e+04
26.1,6.191e+04,1.981e+03,1.095e+04,7.484e+04
27.5,8.769e+04,2.733e+03,2.270e+04,1.131e+05
28.8,7.624e+04,2.549e+03,1.677e+04,9.557e+04
30.2,7.440e+04,2.837e+03,1.057e+04,8.781e+04
31.6,8.632e+04,3.120e+03,1.052e+04,9.996e+04
33.0,1.092e+05,3.215e+03,9.543e+03,1.219e+05
34.3,1.425e+05,3.618e+03,1.094e+04,1.570e+05
35.7,1.804e+05,4.709e+03,1.590e+04,2.010e+05
37.1,1.395e+05,4.940e+03,1.268e+04,1.571e+05
38.5,1.270e+05,5.495e+03,1.199e+04,1.444e+05
39.8,1.853e+05,7.616e+03,1.997e+04,2.128e+05
41.2,2.359e+05,1.007e+04,2.725e+04,2.733e+05
42.6,2.118e+05,9.699e+03,1.853e+04,2.400e+05
43.9,1.860e+05,9.526e+03,1.192e+04,2.075e+05
45.3,2.423e+05,1.236e+04,1.506e+04,2.697e+05
46.7,3.520e+05,1.730e+04,1.769e+04,3.870e+05
48.1,3.519e+05,1.839e+04,1.572e+04,3.860e+05
49.4,3.747e+05,2.028e+04,1.446e+04,4.094e+05
