freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.890e+01,5.308e+01,2.391e+03,2.523e+03
1.4,5.855e+02,3.001e+02,1.495e+04,1.584e+04
2.7,6.319e+02,3.630e+02,1.633e+04,1.733e+04
4.1,6.006e+02,3.274e+02,1.453e+04,1.546e+04
5.5,5.463e+02,2.696e+02,1.692e+04,1.773e+04
6.8,4.761e+02,2.913e+02,1.838e+04,1.915e+04
8.2,6.361e+02,3.339e+02,2.058e+04,2.155e+04
9.6,6.762e+02,2.942e+02,2.309e+04,2.407e+04
11.0,6.417e+02,3.676e+02,2.669e+04,2.770e+04
12.3,7.001e+02,4.112e+02,3.223e+04,3.334e+04
13.7,7.039e+02,4.181e+02,2.678e+04,2.790e+04
15.1,6.652e+02,3.618e+02,3.550e+04,3.652e+04
16.4,7.459e+02,4.368e+02,4.373e+04,4.491e+04
17.8,6.391e+02,4.893e+02,4.070e+04,4.183e+04
19.2,6.662e+02,4.618e+02,4.075e+04,4.187e+04
20.5,7.664e+02,4.559e+02,3.960e+04,4.083e+04
21.9,8.536e+02,4.933e+02,4.599e+04,4.734e+04
23.3,7.767e+02,5.414e+02,6.396e+04,6.528e+04
24.6,7.267e+02,6.523e+02,7.132e+04,7.270e+04
26.0,7.787e+02,7.665e+02,6.544e+04,6.699e+04
27.4,8.278e+02,8.056e+02,7.631e+04,7.795e+04
28.7,8.688e+02,9.001e+02,8.060e+04,8.237e+04
30.1,1.251e+03,1.318e+03,1.123e+05,1.148e+05
31.5,1.257e+03,1.692e+03,1.101e+05,1.130e+05
32.9,1.236e+03,2.516e+03,1.105e+05,1.142e+05
34.2,1.581e+03,4.011e+03,1.502e+05,1.558e+05
35.6,2.087e+03,5.957e+03,1.803e+05,1.884e+05
37.0,2.134e+03,6.728e+03,1.662e+05,1.750e+05
38.3,1.887e+03,6.855e+03,1.339e+05,1.427e+05
39.7,2.707e+03,1.039e+04,2.041e+05,2.172e+05
41.1,2.745e+03,1.040e+04,1.974e+05,2.105e+05
42.4,2.910e+03,1.142e+04,2.329e+05,2.472e+05
43.8,2.497e+03,9.557e+03,2.314e+05,2.435e+05
45.2,2.754e+03,9.583e+03,3.036e+05,3.159e+05
