freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.554e+00,1.816e+01,7.260e+02,7.527e+02
1.6,1.545e+01,2.483e+01,4.324e+02,4.727e+02
3.2,1.413e+01,1.633e+01,5.918e+01,8.964e+01
4.8,1.434e+01,1.770e+01,6.422e+02,6.742e+02
6.4,1.461e+01,2.267e+01,2.027e+03,2.065e+03
8.0,1.557e+01,2.667e+01,3.337e+03,3.379e+03
9.5,1.453e+01,3.510e+01,4.954e+03,5.003e+03
11.1,1.323e+01,3.980e+01,7.077e+03,7.130e+03
12.7,2.102e+01,4.344e+01,9.959e+03,1.002e+04
14.3,3.843e+01,6.118e+01,1.382e+04,1.392e+04
15.9,4.029e+01,7.053e+01,1.588e+04,1.599e+04
17.5,2.653e+01,9.087e+01,1.873e+04,1.885e+04
19.1,2.526e+01,1.209e+02,2.515e+04,2.529e+04
20.7,2.769e+01,1.582e+02,3.322e+04,3.341e+04
22.3,4.289e+01,2.193e+02,4.345e+04,4.371e+04
23.9,7.785e+01,3.027e+02,5.732e+04,5.770e+04
25.5,1.088e+02,4.371e+02,7.689e+04,7.744e+04
27.1,1.713e+02,6.508e+02,1.057e+05,1.065e+05
28.6,1.823e+02,9.064e+02,1.503e+05,1.514e+05
30.2,2.147e+02,1.332e+03,2.298e+05,2.314e+05
31.8,3.287e+02,2.867e+03,3.622e+05,3.654e+05
33.4,1.024e+03,9.459e+03,6.189e+05,6.294e+05
35.0,2.372e+03,1.507e+04,8.496e+05,8.670e+05
36.6,1.985e+03,1.052e+04,6.504e+05,6.629e+05
38.2,1.086e+03,8.123e+03,6.482e+05,6.574e+05
39.8,9.737e+02,1.575e+04,1.122e+06,1.139e+06
41.4,1.670e+03,2.526e+04,1.439e+06,1.466e+06
43.0,2.425e+03,2.576e+04,1.273e+06,1.301e+06
44.6,3.163e+03,2.137e+04,9.690e+05,9.935e+05
46.2,2.803e+03,1.695e+04,7.841e+05,8.039e+05
47.7,1.389e+03,1.153e+04,6.601e+05,6.730e+05
49.3,8.061e+02,7.411e+03,5.253e+05,5.336e+05
50.9,1.021e+03,5.406e+03,4.123e+05,4.187e+05
52.5,1.810e+03,4.008e+03,3.580e+05,3.639e+05
54.1,2.857e+03,3.313e+03,3.400e+05,3.462e+05
55.7,3.623e+03,2.210e+03,3.368e+05,3.427e+05
57.3,4.909e+03,1.258e+03,3.154e+05,3.216e+05
58.9,6.305e+03,1.050e+03,2.852e+05,2.926e+05
60.5,6.402e+03,1.788e+03,2.830e+05,2.912e+05
62.1,7.037e+03,3.095e+03,2.955e+05,3.056e+05
63.7,7.473e+03,4.390e+03,2.874e+05,2.993e+05
65.3,6.803e+03,5.338e+03,2.614e+05,2.735e+05
66.8,5.529e+03,6.746e+03,2.172e+05,2.295e+05
68.4,4.449e+03,9.427e+03,1.694e+05,1.832e+05
70.0,3.394e+03,1.348e+04,1.227e+05,1.396e+05
71.6,4.143e+03,1.856e+04,8.190e+04,1.046e+05
73.2,3.289e+03,2.169e+04,5.061e+04,7.560e+04
74.8,2.683e+03,2.247e+04,2.730e+04,5.245e+04
76.4,4.298e+03,2.306e+04,1.662e+04,4.398e+04
78.0,7.505e+03,2.401e+04,1.703e+04,4.854e+04
79.6,1.145e+04,2.463e+04,2.157e+04,5.765e+04
81.2,1.298e+04,2.605e+04,2.588e+04,6.490e+04
82.8,1.400e+04,2.586e+04,2.726e+04,6.712e+04
84.4,1.450e+04,2.612e+04,2.782e+04,6.845e+04
85.9,1.298e+04,2.656e+04,2.954e+04,6.908e+04
87.5,1.142e+04,2.572e+04,3.004e+04,6.718e+04
89.1,8.558e+03,1.832e+04,2.154e+04,4.841e+04
90.7,3.124e+03,7.103e+03,6.821e+03,1.705e+04
92.3,1.476e+03,6.214e+03,4.677e+03,1.237e+04
93.9,9.000e+02,7.704e+03,5.277e+03,1.388e+04
95.5,6.063e+02,9.290e+03,5.744e+03,1.564e+04
97.1,4.164e+02,1.035e+04,5.961e+03,1.672e+04
98.7,3.029e+02,9.144e+03,4.875e+03,1.432e+04
100.3,2.551e+02,6.949e+03,3.411e+03,1.062e+04
101.9,3.339e+02,5.062e+03,2.347e+03,7.743e+03
103.5,6.001e+02,3.541e+03,1.716e+03,5.857e+03
105.0,8.382e+02,2.333e+03,1.178e+03,4.350e+03
106.6,9.143e+02,1.510e+03,7.959e+02,3.220e+03
108.2,9.098e+02,9.892e+02,5.080e+02,2.407e+03
109.8,8.371e+02,6.553e+02,2.841e+02,1.777e+03
111.4,7.271e+02,5.523e+02,2.197e+02,1.499e+03
113.0,5.759e+02,4.674e+02,2.154e+02,1.259e+03
114.6,5.228e+02,3.356e+02,2.276e+02,1.086e+03
116.2,5.137e+02,2.698e+02,2.550e+02,1.038e+03
117.8,5.285e+02,2.683e+02,2.675e+02,1.064e+03
119.4,5.293e+02,3.227e+02,2.855e+02,1.137e+03
121.0,5.139e+02,5.802e+02,3.685e+02,1.463e+03
122.6,4.875e+02,9.253e+02,4.204e+02,1.833e+03
124.1,4.934e+02,9.461e+02,3.409e+02,1.780e+03
125.7,5.895e+02,6.856e+02,2.682e+02,1.543e+03
127.3,6.578e+02,3.413e+02,2.935e+02,1.293e+03
128.9,7.923e+02,2.163e+02,3.676e+02,1.376e+03
130.5,1.038e+03,2.551e+02,4.629e+02,1.756e+03
132.1,1.373e+03,3.838e+02,4.975e+02,2.254e+03
133.7,2.140e+03,5.783e+02,5.595e+02,3.278e+03
135.3,3.275e+03,5.710e+02,6.147e+02,4.460e+03
136.9,4.570e+03,4.824e+02,6.590e+02,5.711e+03
138.5,6.143e+03,4.553e+02,7.723e+02,7.371e+03
140.1,7.872e+03,5.873e+02,8.913e+02,9.351e+03
141.7,9.279e+03,7.859e+02,9.798e+02,1.104e+04
143.2,9.752e+03,1.065e+03,9.831e+02,1.180e+04
144.8,9.061e+03,1.467e+03,8.966e+02,1.142e+04
146.4,1.101e+04,1.976e+03,8.927e+02,1.388e+04
148.0,1.384e+04,2.366e+03,8.793e+02,1.708e+04
149.6,2.163e+04,2.352e+03,1.014e+03,2.500e+04
151.2,3.076e+04,1.795e+03,1.108e+03,3.366e+04
152.8,4.452e+04,1.409e+03,1.283e+03,4.721e+04
154.4,5.688e+04,1.351e+03,1.437e+03,5.967e+04
156.0,5.512e+04,1.379e+03,1.306e+03,5.780e+04
157.6,5.818e+04,1.508e+03,1.209e+03,6.089e+04
159.2,5.427e+04,1.548e+03,1.078e+03,5.690e+04
160.7,4.865e+04,1.704e+03,1.026e+03,5.138e+04
162.3,4.394e+04,1.927e+03,9.802e+02,4.685e+04
163.9,3.872e+04,2.141e+03,1.033e+03,4.189e+04
165.5,3.557e+04,2.085e+03,1.042e+03,3.870e+04
167.1,3.254e+04,1.903e+03,1.068e+03,3.552e+04
168.7,3.034e+04,1.931e+03,1.099e+03,3.337e+04
170.3,2.702e+04,1.980e+03,9.674e+02,2.997e+04
171.9,2.580e+04,2.201e+03,9.214e+02,2.892e+04
173.5,2.404e+04,2.216e+03,7.884e+02,2.704e+04
175.1,2.327e+04,1.944e+03,7.062e+02,2.592e+04
176.7,2.044e+04,1.629e+03,6.289e+02,2.270e+04
178.3,1.859e+04,1.517e+03,5.109e+02,2.062e+04
179.8,1.439e+04,1.507e+03,4.021e+02,1.630e+04
181.4,1.114e+04,1.492e+03,3.360e+02,1.297e+04
183.0,9.969e+03,1.528e+03,3.153e+02,1.181e+04
184.6,8.037e+03,1.541e+03,2.979e+02,9.876e+03
186.2,5.404e+03,1.505e+03,2.698e+02,7.179e+03
187.8,3.292e+03,1.500e+03,2.441e+02,5.036e+03
189.4,2.414e+03,1.524e+03,2.194e+02,4.158e+03
191.0,2.580e+03,1.439e+03,2.047e+02,4.223e+03
192.6,2.914e+03,1.127e+03,1.918e+02,4.233e+03
194.2,3.484e+03,8.916e+02,2.087e+02,4.585e+03
195.8,3.943e+03,6.207e+02,2.313e+02,4.795e+03
197.4,3.996e+03,4.812e+02,2.815e+02,4.759e+03
198.9,3.724e+03,3.843e+02,3.149e+02,4.423e+03
