freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.098e+02,4.151e+01,4.071e+03,4.223e+03
1.4,5.715e+02,2.363e+02,1.619e+04,1.700e+04
2.7,6.911e+02,2.500e+02,1.490e+04,1.584e+04
4.1,7.268e+02,2.474e+02,1.483e+04,1.581e+04
5.5,6.796e+02,2.783e+02,1.831e+04,1.927e+04
6.9,6.824e+02,2.882e+02,2.061e+04,2.158e+04
8.2,6.690e+02,2.820e+02,2.116e+04,2.211e+04
9.6,7.253e+02,3.052e+02,2.441e+04,2.544e+04
11.0,6.933e+02,3.545e+02,2.481e+04,2.585e+04
12.4,8.349e+02,4.321e+02,3.420e+04,3.547e+04
13.7,8.614e+02,4.235e+02,3.554e+04,3.683e+04
15.1,6.983e+02,3.641e+02,3.670e+04,3.777e+04
16.5,9.018e+02,4.007e+02,4.248e+04,4.378e+04
17.9,1.061e+03,4.683e+02,4.695e+04,4.848e+04
19.2,1.041e+03,4.777e+02,4.993e+04,5.145e+04
20.6,9.155e+02,4.734e+02,4.375e+04,4.514e+04
22.0,8.492e+02,4.705e+02,4.772e+04,4.904e+04
23.4,8.129e+02,5.036e+02,7.116e+04,7.248e+04
24.7,8.531e+02,5.523e+02,7.655e+04,7.795e+04
26.1,9.480e+02,6.729e+02,8.855e+04,9.017e+04
27.5,9.641e+02,7.263e+02,8.757e+04,8.926e+04
28.9,9.766e+02,9.130e+02,9.171e+04,9.360e+04
30.2,1.167e+03,1.236e+03,1.112e+05,1.136e+05
31.6,1.211e+03,1.809e+03,1.213e+05,1.243e+05
33.0,1.098e+03,2.063e+03,1.209e+05,1.241e+05
34.3,1.472e+03,3.165e+03,1.477e+05,1.523e+05
35.7,1.863e+03,4.774e+03,1.896e+05,1.963e+05
37.1,2.196e+03,5.786e+03,2.061e+05,2.141e+05
38.5,2.882e+03,8.104e+03,2.684e+05,2.794e+05
39.8,3.913e+03,1.171e+04,3.321e+05,3.478e+05
41.2,3.281e+03,8.801e+03,2.963e+05,3.084e+05
42.6,3.105e+03,7.539e+03,3.102e+05,3.208e+05
44.0,3.123e+03,6.270e+03,3.367e+05,3.461e+05
45.3,3.868e+03,7.259e+03,4.274e+05,4.385e+05
46.7,3.618e+03,7.008e+03,3.869e+05,3.975e+05
48.1,3.908e+03,7.343e+03,5.881e+05,5.994e+05
49.5,2.934e+03,5.104e+03,3.950e+05,4.031e+05
50.8,3.862e+03,5.231e+03,5.808e+05,5.899e+05
52.2,4.435e+03,5.721e+03,6.843e+05,6.944e+05
53.6,4.630e+03,4.666e+03,4.958e+05,5.051e+05
55.0,4.962e+03,3.967e+03,4.885e+05,4.974e+05
56.3,5.880e+03,3.573e+03,5.419e+05,5.514e+05
57.7,7.499e+03,4.133e+03,6.874e+05,6.990e+05
59.1,5.404e+03,3.974e+03,5.220e+05,5.314e+05
60.5,4.142e+03,3.688e+03,3.882e+05,3.960e+05
61.8,4.112e+03,2.589e+03,3.162e+05,3.229e+05
63.2,4.410e+03,3.314e+03,3.395e+05,3.473e+05
64.6,5.551e+03,3.191e+03,3.891e+05,3.978e+05
66.0,4.799e+03,2.772e+03,3.325e+05,3.400e+05
67.3,4.590e+03,2.176e+03,2.990e+05,3.058e+05
68.7,4.298e+03,1.935e+03,2.429e+05,2.491e+05
70.1,5.044e+03,1.896e+03,2.289e+05,2.359e+05
71.4,4.835e+03,1.691e+03,1.893e+05,1.959e+05
72.8,4.671e+03,1.608e+03,1.797e+05,1.860e+05
74.2,4.897e+03,1.309e+03,1.678e+05,1.740e+05
75.6,6.095e+03,1.652e+03,1.528e+05,1.605e+05
76.9,8.596e+03,2.217e+03,1.515e+05,1.623e+05
78.3,7.553e+03,1.923e+03,1.400e+05,1.495e+05
79.7,7.433e+03,1.851e+03,1.426e+05,1.519e+05
81.1,7.322e+03,1.859e+03,1.314e+05,1.405e+05
82.4,7.376e+03,1.839e+03,1.076e+05,1.169e+05
83.8,7.968e+03,1.966e+03,9.231e+04,1.022e+05
85.2,8.474e+03,1.993e+03,7.424e+04,8.470e+04
86.6,7.739e+03,1.791e+03,6.054e+04,7.007e+04
87.9,8.698e+03,2.011e+03,6.483e+04,7.554e+04
89.3,9.412e+03,2.215e+03,6.176e+04,7.338e+04
90.7,8.095e+03,1.969e+03,5.475e+04,6.482e+04
92.1,6.705e+03,1.599e+03,4.967e+04,5.798e+04
93.4,7.285e+03,1.714e+03,4.992e+04,5.892e+04
94.8,6.049e+03,1.486e+03,4.416e+04,5.170e+04
96.2,4.362e+03,1.095e+03,3.376e+04,3.921e+04
97.6,4.505e+03,1.116e+03,3.703e+04,4.265e+04
98.9,4.120e+03,1.099e+03,3.578e+04,4.100e+04
100.3,3.156e+03,9.543e+02,2.814e+04,3.225e+04
101.7,3.027e+03,8.995e+02,2.746e+04,3.139e+04
103.0,3.468e+03,9.649e+02,3.017e+04,3.460e+04
104.4,3.852e+03,9.800e+02,2.758e+04,3.241e+04
105.8,2.912e+03,7.901e+02,2.333e+04,2.704e+04
107.2,2.478e+03,8.156e+02,2.022e+04,2.351e+04
108.5,2.920e+03,9.951e+02,2.283e+04,2.674e+04
109.9,2.317e+03,8.323e+02,1.938e+04,2.253e+04
111.3,1.746e+03,6.986e+02,1.835e+04,2.080e+04
112.7,2.045e+03,7.028e+02,1.826e+04,2.100e+04
114.0,1.794e+03,6.349e+02,1.640e+04,1.883e+04
