freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.504e+02,5.656e+01,2.515e+03,2.722e+03
1.4,6.165e+02,2.575e+02,1.170e+04,1.257e+04
2.7,6.367e+02,3.445e+02,1.325e+04,1.423e+04
4.1,7.268e+02,3.647e+02,1.714e+04,1.823e+04
5.5,6.884e+02,2.709e+02,2.142e+04,2.238e+04
6.8,5.803e+02,2.927e+02,2.123e+04,2.210e+04
8.2,5.939e+02,3.261e+02,2.173e+04,2.265e+04
9.5,5.937e+02,2.832e+02,2.620e+04,2.708e+04
10.9,6.219e+02,2.847e+02,2.830e+04,2.921e+04
12.3,5.588e+02,2.704e+02,2.778e+04,2.861e+04
13.6,5.730e+02,2.993e+02,3.006e+04,3.093e+04
15.0,6.507e+02,3.166e+02,3.014e+04,3.110e+04
16.4,7.456e+02,3.601e+02,3.690e+04,3.801e+04
17.7,1.048e+03,4.718e+02,4.207e+04,4.359e+04
19.1,9.994e+02,4.611e+02,4.454e+04,4.600e+04
20.5,8.721e+02,4.871e+02,4.013e+04,4.149e+04
21.8,8.199e+02,5.290e+02,3.935e+04,4.070e+04
23.2,8.355e+02,5.120e+02,5.165e+04,5.300e+04
24.6,1.027e+03,5.771e+02,4.299e+04,4.459e+04
25.9,1.319e+03,6.921e+02,4.863e+04,5.064e+04
27.3,1.147e+03,7.818e+02,6.677e+04,6.870e+04
28.6,9.548e+02,8.937e+02,6.755e+04,6.940e+04
30.0,1.031e+03,1.037e+03,7.428e+04,7.635e+04
31.4,1.307e+03,1.639e+03,8.774e+04,9.069e+04
32.7,1.371e+03,2.535e+03,9.618e+04,1.001e+05
34.1,1.491e+03,3.666e+03,1.148e+05,1.200e+05
35.5,1.901e+03,5.635e+03,1.352e+05,1.428e+05
36.8,2.472e+03,8.243e+03,1.583e+05,1.690e+05
38.2,2.990e+03,1.033e+04,1.622e+05,1.755e+05
39.6,2.582e+03,9.774e+03,1.604e+05,1.728e+05
40.9,3.098e+03,1.281e+04,2.121e+05,2.281e+05
42.3,2.956e+03,1.136e+04,2.046e+05,2.189e+05
43.7,2.339e+03,7.961e+03,1.689e+05,1.792e+05
45.0,2.310e+03,6.877e+03,1.698e+05,1.790e+05
46.4,2.708e+03,7.777e+03,2.682e+05,2.787e+05
47.7,2.741e+03,7.397e+03,3.660e+05,3.761e+05
49.1,2.784e+03,5.894e+03,3.863e+05,3.950e+05
50.5,3.351e+03,4.838e+03,3.890e+05,3.972e+05
51.8,3.185e+03,3.528e+03,3.779e+05,3.846e+05
53.2,3.231e+03,3.393e+03,3.817e+05,3.884e+05
54.6,4.834e+03,3.677e+03,4.575e+05,4.660e+05
55.9,5.072e+03,3.322e+03,4.852e+05,4.936e+05
57.3,5.446e+03,2.937e+03,5.155e+05,5.239e+05
58.7,5.524e+03,3.241e+03,5.270e+05,5.357e+05
60.0,5.461e+03,2.762e+03,4.503e+05,4.585e+05
61.4,4.037e+03,2.102e+03,3.131e+05,3.192e+05
62.8,3.649e+03,2.402e+03,2.915e+05,2.975e+05
64.1,3.783e+03,2.579e+03,2.373e+05,2.437e+05
65.5,4.811e+03,2.566e+03,3.246e+05,3.320e+05
66.8,4.691e+03,2.444e+03,3.003e+05,3.075e+05
68.2,4.559e+03,2.209e+03,2.409e+05,2.476e+05
69.6,5.529e+03,2.089e+03,2.939e+05,3.015e+05
70.9,6.290e+03,1.915e+03,3.163e+05,3.245e+05
72.3,6.038e+03,1.664e+03,2.701e+05,2.778e+05
73.7,5.669e+03,1.410e+03,1.787e+05,1.858e+05
75.0,7.654e+03,1.967e+03,1.709e+05,1.805e+05
76.4,1.480e+04,3.488e+03,1.841e+05,2.024e+05
77.8,1.315e+04,3.004e+03,1.779e+05,1.940e+05
79.1,7.124e+03,1.729e+03,1.322e+05,1.411e+05
80.5,6.416e+03,1.576e+03,1.178e+05,1.257e+05
81.9,6.915e+03,1.635e+03,1.016e+05,1.101e+05
83.2,7.021e+03,1.689e+03,8.710e+04,9.581e+04
84.6,7.418e+03,1.814e+03,7.863e+04,8.786e+04
85.9,8.496e+03,1.940e+03,7.864e+04,8.908e+04
87.3,7.163e+03,1.601e+03,6.395e+04,7.271e+04
88.7,8.106e+03,1.831e+03,6.730e+04,7.724e+04
90.0,1.039e+04,2.294e+03,7.188e+04,8.456e+04
91.4,1.003e+04,2.296e+03,7.098e+04,8.331e+04
92.8,9.108e+03,2.164e+03,6.981e+04,8.108e+04
94.1,9.155e+03,2.046e+03,6.773e+04,7.893e+04
95.5,6.327e+03,1.476e+03,4.657e+04,5.437e+04
