freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.202e+03,9.111e+01,1.100e+02,2.403e+03
1.4,1.009e+04,5.384e+02,5.979e+02,1.123e+04
2.7,1.084e+04,7.109e+02,7.081e+02,1.226e+04
4.1,1.291e+04,7.388e+02,7.468e+02,1.439e+04
5.5,1.254e+04,5.694e+02,6.107e+02,1.372e+04
6.9,1.484e+04,5.438e+02,6.248e+02,1.601e+04
8.2,1.759e+04,6.797e+02,6.734e+02,1.894e+04
9.6,1.786e+04,7.236e+02,7.200e+02,1.931e+04
11.0,1.950e+04,9.747e+02,7.858e+02,2.126e+04
12.4,2.358e+04,8.749e+02,7.272e+02,2.518e+04
13.7,2.578e+04,7.695e+02,8.557e+02,2.740e+04
15.1,2.607e+04,6.991e+02,1.051e+03,2.782e+04
16.5,2.737e+04,7.601e+02,1.141e+03,2.927e+04
17.9,3.073e+04,8.085e+02,1.236e+03,3.277e+04
19.2,3.264e+04,7.057e+02,1.527e+03,3.487e+04
20.6,3.566e+04,9.226e+02,1.891e+03,3.848e+04
22.0,3.688e+04,1.049e+03,2.352e+03,4.028e+04
23.4,4.474e+04,9.616e+02,3.639e+03,4.934e+04
24.7,4.538e+04,9.034e+02,3.515e+03,4.980e+04
26.1,5.781e+04,9.473e+02,3.391e+03,6.215e+04
27.5,6.447e+04,1.188e+03,4.275e+03,6.993e+04
28.9,6.178e+04,1.146e+03,4.787e+03,6.772e+04
30.2,8.216e+04,1.580e+03,6.724e+03,9.046e+04
31.6,9.406e+04,1.542e+03,9.964e+03,1.056e+05
33.0,8.207e+04,1.356e+03,1.051e+04,9.394e+04
34.4,1.114e+05,1.388e+03,1.096e+04,1.237e+05
35.7,1.404e+05,1.724e+03,9.935e+03,1.520e+05
37.1,1.426e+05,2.207e+03,6.691e+03,1.515e+05
38.5,1.450e+05,3.852e+03,8.462e+03,1.573e+05
39.9,1.388e+05,4.496e+03,8.720e+03,1.520e+05
41.2,2.162e+05,6.087e+03,1.072e+04,2.330e+05
42.6,2.304e+05,5.684e+03,9.497e+03,2.456e+05
44.0,2.438e+05,5.911e+03,8.794e+03,2.585e+05
45.4,2.376e+05,5.286e+03,7.208e+03,2.501e+05
46.7,2.337e+05,5.624e+03,5.805e+03,2.451e+05
48.1,2.907e+05,6.845e+03,5.407e+03,3.029e+05
49.5,2.653e+05,5.862e+03,4.101e+03,2.753e+05
50.9,2.660e+05,5.767e+03,4.179e+03,2.759e+05
52.2,3.815e+05,8.007e+03,4.486e+03,3.940e+05
53.6,3.603e+05,8.030e+03,4.018e+03,3.723e+05
55.0,3.578e+05,8.619e+03,3.879e+03,3.703e+05
56.4,4.049e+05,9.809e+03,4.371e+03,4.191e+05
